Lags,ALL,,,,,,,WARM,,,,,,,COLD,,,,,,
Day,AirPoll,Beta,SE,Pvalue,RR,Low95%RR,Uper95%RR,AirPoll,Beta,SE,Pvalue,RR,Low95%RR,Uper95%RR,AirPoll,Beta,SE,Pvalue,RR,LowRR,UperRR
0,SO2,0.001705431,0.002848946,0.54946865,1.002048613,0.99535661,1.008785607,SO2,-0.000377873,0.003453521,0.912878731,0.999546656,0.991460542,1.007698718,SO2,0.002710354,0.002487987,0.27606768,1.00325772,0.997404055,1.009145739
1,SO2,0.002424241,0.002859498,0.396618872,1.002913325,0.996190823,1.009681191,SO2,0.003205541,0.003430015,0.350085638,1.003854057,0.995788149,1.011985299,SO2,0.001694854,0.002510681,0.499686575,1.002035894,0.996136187,1.007970544
2,SO2,0.005089127,0.002841649,0.073400076,1.006125638,0.99942356,1.012872659,SO2,0.00616855,0.003363253,0.066728884,1.007429724,0.999492018,1.01543047,SO2,0.004117778,0.002509099,0.100864153,1.004953562,0.999040393,1.01090173
3,SO2,0.00029619,0.00284048,0.916957649,1.000355492,0.993694583,1.00706105,SO2,-0.002151394,0.003380198,0.524514464,0.997421657,0.989523368,1.005382989,SO2,0.001566015,0.002502916,0.531570846,1.001880985,0.996000379,1.007796311
4,SO2,0.005131807,0.002801509,0.067071268,1.006177169,0.999569112,1.012828911,SO2,0.002989994,0.00331871,0.367680308,1.003594437,0.995791269,1.011458753,SO2,0.006617097,0.002473033,0.007494229,1.007972126,1.0021262,1.013852154
5,SO2,0.005899584,0.002773949,0.033512406,1.00710462,1.000555327,1.013696782,SO2,0.00290427,0.0032751,0.37526602,1.003491204,0.995790972,1.011250981,SO2,0.007592198,0.002455277,0.002003449,1.009152266,1.003341396,1.014996789
6,SO2,0.003913341,0.002753838,0.155396983,1.004707053,0.998220567,1.011235688,SO2,0.001266722,0.003246297,0.696410116,1.001521222,0.993903436,1.009197395,SO2,0.005563653,0.002445675,0.02297626,1.00669872,1.000924583,1.012506167
7,SO2,0.003931245,0.00274762,0.152587759,1.004728639,0.998256613,1.011242625,SO2,0.002326386,0.003256467,0.475036982,1.002795564,0.99514428,1.010505675,SO2,0.005098924,0.002430925,0.036023329,1.006137466,1.000401254,1.01190657
8,SO2,-0.000122901,0.002742197,0.964254647,0.999852529,0.993424584,1.006322067,SO2,0.006758715,0.003238535,0.036967926,1.008143437,1.000493545,1.01585182,SO2,-0.003906889,0.002426511,0.107475315,0.995322706,0.989658425,1.001019406
9,SO2,0.001523523,0.002725015,0.576139776,1.0018299,0.995429469,1.008271484,SO2,0.010155373,0.003232912,0.001697245,1.012261005,1.004593155,1.019987382,SO2,-0.003239024,0.002403063,0.177792122,0.996120715,0.990506517,1.001766734
10,SO2,0.004102177,0.00270475,0.129449483,1.004934748,0.998562075,1.011348091,SO2,0.007594539,0.00320122,0.017730704,1.009155101,1.001585433,1.016781978,SO2,0.001891331,0.002393662,0.429502432,1.002272175,0.996645344,1.007930774
11,SO2,-8.06E-06,0.002716698,0.997633,0.999990328,0.993621087,1.006400397,SO2,-0.001885871,0.003207291,0.556575964,0.997739514,0.990241334,1.00529447,SO2,0.000540392,0.002404885,0.822222143,1.00064868,0.995004698,1.006324677
12,SO2,0.001486697,0.002713029,0.583739924,1.001785629,0.995413542,1.008198506,SO2,0.004526964,0.003253834,0.164237482,1.005447139,0.997781803,1.013171363,SO2,-0.000995693,0.002377941,0.675447603,0.998805882,0.993235236,1.004407771
13,SO2,0.004163176,0.002691211,0.121970998,1.005008311,0.998666972,1.011389916,SO2,0.00501494,0.003244183,0.122243102,1.006036072,0.998388909,1.013741809,SO2,0.003044593,0.002361057,0.197313705,1.003660194,0.998102109,1.00924923
14,SO2,0.003551312,0.002677859,0.184873753,1.004270668,0.997965323,1.010615851,SO2,0.002330041,0.003222498,0.469698009,1.002799962,0.995228156,1.010429375,SO2,0.003614362,0.002350214,0.124172795,1.004346654,0.998810239,1.009913757
