Lags,ALL,,,,,,,WARM,,,,,,,COLD,,,,,,
Day,AirPoll,Beta,SE,Pvalue,RR,Low95%RR,Uper95%RR,AirPoll,Beta,SE,Pvalue,RR,Low95%RR,Uper95%RR,AirPoll,Beta,SE,Pvalue,RR,LowRR,UperRR
5,AQHIX,0.003392798,0.003147114,0.281083091,1.005102169,0.995845336,1.014445048,AQHIX,0.001981513,0.002931903,0.499186225,1.002976691,0.994368392,1.011659513,AQHIX,0.004815292,0.003458785,0.163958325,1.007249086,0.997058445,1.017543883
6,AQHIX,4.68E-05,0.003140231,0.9881149,1.000070175,0.990879737,1.009345854,AQHIX,0.002904872,0.002930141,0.321574738,1.004366815,0.995751743,1.013056423,AQHIX,-0.003793229,0.003445617,0.271027018,0.994326313,0.984304521,1.004450143
7,AQHIX,-0.00126195,0.003128426,0.686693578,0.998108865,0.988970775,1.007331391,AQHIX,0.000705178,0.002930732,0.809868624,1.001058326,0.992469908,1.009721065,AQHIX,-0.004184628,0.003404493,0.219103906,0.993742717,0.983845751,1.003739241
8,AQHIX,-0.001053794,0.003142597,0.73740064,0.998420558,0.989238399,1.007687946,AQHIX,0.004578488,0.002955771,0.121478007,1.006891369,0.998179425,1.01567935,AQHIX,-0.008606092,0.00339614,0.011320296,0.987173828,0.977366285,0.997079786
9,AQHIX,-0.001251606,0.003157945,0.691883307,0.998124352,0.988900294,1.007434449,AQHIX,0.00791802,0.002980202,0.007925004,1.011947842,1.003120094,1.020853277,AQHIX,-0.01349916,0.003394584,7.14E-05,0.979954889,0.970223505,0.98978388
10,AQHIX,0.002454722,0.003176492,0.439709564,1.00368887,0.994359166,1.013106111,AQHIX,0.008859051,0.003008317,0.003253738,1.013377262,1.004454014,1.022379781,AQHIX,-0.006223319,0.003411952,0.068246432,0.990708457,0.980820201,1.000696403
11,AQHIX,0.00323639,0.003180719,0.30898915,1.004866388,0.995513366,1.014307282,AQHIX,0.007155877,0.003003265,0.017242764,1.01079163,1.001906031,1.019756032,AQHIX,-0.002868734,0.003432137,0.40330292,0.995706144,0.985709509,1.005804161
12,AQHIX,0.008759764,0.003181254,0.005927566,1.01322635,1.003793938,1.022747397,AQHIX,0.009446737,0.00301535,0.00174623,1.014270977,1.005319073,1.023302594,AQHIX,0.007061954,0.003418676,0.038935159,1.010649235,1.00054217,1.020858396
13,AQHIX,0.00725596,0.003182867,0.022689736,1.010943386,1.001527476,1.020447819,AQHIX,0.005980136,0.00302437,0.048089396,1.009010557,1.000078559,1.018022329,AQHIX,0.010249141,0.003413981,0.002701356,1.015492495,1.005350872,1.025736423
14,AQHIX,0.000285138,0.00317922,0.928540705,1.000427798,0.991120457,1.009822541,AQHIX,-0.002093922,0.003013443,0.487191866,0.996864044,0.988071312,1.005735022,AQHIX,0.00372766,0.003411156,0.274568347,1.005607152,0.995572522,1.015742923
0,CO,0.01399347,0.04063182,0.7305699,1.001400327,0.993457009,1.009407155,CO,-0.005464889,0.050936572,0.91456694,0.99945366,0.98952519,1.009481749,CO,0.02638225,0.03480765,0.44853859,1.002641708,0.995824667,1.009505417
1,CO,-0.03066825,0.04054758,0.44949219,0.996937873,0.989046283,1.00489243,CO,-0.02226901,0.05061257,0.65997337,0.997775577,0.987926512,1.007722831,CO,-0.03435203,0.03479667,0.32360636,0.996570691,0.989797056,1.00339068
